sl_no,Product_name,Review,Rating,Polarity,Predicted_Sentiment,stemmed_content,Sentiment
10,"DELL Inspiron Athlon Dual Core 3050U - (4 GB/256 GB SSD/Windows 11 Home) INSPIRON 3515 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Laptop received was in good packaging and good condition. Performance wise little bit slow compared to i3 processor of Intel. For general usage this laptop performs good.,5,0.33749999999999997,Positive,laptop receiv good packag good condit perform wise littl bit slow compar processor intel gener usag laptop perform good,Positive
11,"DELL Inspiron Athlon Dual Core 3050U - (4 GB/256 GB SSD/Windows 11 Home) INSPIRON 3515 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Very nice,5,0.78,Positive,nice,Positive
12,"DELL Inspiron Athlon Dual Core 3050U - (4 GB/256 GB SSD/Windows 11 Home) INSPIRON 3515 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Good product but dilevary slow,4,0.19999999999999996,Positive,good product dilevari slow,Positive
13,"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","If you can affort few thousands extra you can prefer other laptops with same config.I came to know about done limitations of this laptop-poor webcam not even suitable for day to day online classes-Sound very low, need to connect external speakers-Keypad not visible due to same colour of laptop body and keys. Backlight not available.-Low battery backupTo save cost Asus has done these compromises.Performance wise doesn't see any issue, but since I'm using HP laptop also these small th...",2,0.05,Positive,affort thousand extra prefer laptop config came know done limit laptop poor webcam even suitabl day day onlin class sound low need connect extern speaker keypad visibl due colour laptop bodi key backlight avail low batteri backupto save cost asu done compromis perform wise see issu sinc use hp laptop also small th,Negative
14,"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Good,5,0.7,Positive,good,Positive
15,"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",All good but battery backup not good enough,3,0.11666666666666665,Positive,good batteri backup good enough,Neutral
16,"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","I'll update this review again after a month usage...As of now, it's a good laptop, but battery is not upto the mark...",5,0.7,Positive,updat review month usag good laptop batteri upto mark,Positive
17,"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",I love it ....❣️,5,0.5,Positive,love,Positive
18,"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Good,4,0.7,Positive,good,Positive
19,"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Best Laptop 💻 👌 in the segment. Classy performance 👏 because of ssd memory.Battery 🔋 is good enough.Design is so sleeky.Recommend you to buy.,4,0.6,Positive,best laptop segment classi perform ssd memori batteri good enough design sleeki recommend buy,Positive
20,"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Awesome quality and very likely,5,0.5,Positive,awesom qualiti like,Positive
21,"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Incredible laptop Performance very good 👍,5,0.905,Positive,incred laptop perform good,Positive
22,"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",good looking and performance also good,4,0.7,Positive,good look perform also good,Positive
23,"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",I love it 💗💗 not because of prize but it's really fast working..and good product...must try it once.,5,0.4666666666666666,Positive,love prize realli fast work good product must tri,Positive
24,"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","First of all thanks to Flipkart for a faster delivery, it was under 2days. You guys are awesome. The laptop is so much slik looking and classy. It is so much premium looking. The display is great and the performance is even faster. I am a student, doing my bachelor's, so for student work it is more faster than required. I just loved the laptop. But for gaming I don't know, because I can't play games that much. Boot time is less than 6 second.",5,0.3319444444444445,Positive,first thank flipkart faster deliveri day guy awesom laptop much slik look classi much premium look display great perform even faster student bachelor student work faster requir love laptop game know play game much boot time less second,Positive
25,"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","Good Laptop under 40k got it at 39k. Good for students,professionals not built for heavy task but normal excel power point run smoothly. Sound quality is average but audible. Overall good laptop.",4,0.2875,Positive,good laptop k got k good student profession built heavi task normal excel power point run smoothli sound qualiti averag audibl overal good laptop,Positive
26,"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",Awesome specifications and reasonable price.. Slim and well designed.. Built quality is awesome,5,0.7333333333333334,Positive,awesom specif reason price slim well design built qualiti awesom,Positive
27,"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","Delivery was done after 8 days after purchasing quite long time taken.but overall product is great,compitable,slim & handy.. performance is outstanding in this range.everything works fine",5,0.29333333333333333,Positive,deliveri done day purchas quit long time taken overal product great compit slim handi perform outstand rang everyth work fine,Positive
28,"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",Nice product in this price range .. Go for it,5,0.6,Positive,nice product price rang go,Positive
29,"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",Performance of this laptop is very niceDisplay quality is awesome,5,0.6,Positive,perform laptop nicedisplay qualiti awesom,Positive
30,"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",Very nice laptop.,5,0.78,Positive,nice laptop,Positive
31,"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",Every thing is just fine but the tn display is so annoying as always,5,-0.19166666666666668,Negative,everi thing fine tn display annoy alway,Positive
32,"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",Nice product in this price point I recommend you....you can go for it,5,0.6,Positive,nice product price point recommend go,Positive
33,"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)","This laptop has major scree issueviewing angle is very badI'm not going to enjoy multimedia in this pc.This os irritating.If you tilt your screen then you will see only black and white colours.Everyone told me about hp is a brand that provides better service , build Quality, coustomer satisfaction, Display and also battery.I will never think about that hp laptop comes with wrost screen experience.**For those Costomer who will read my review:-One thing that i have noticed about Hp....",4,0.14226190476190478,Positive,laptop major scree issueview angl badi go enjoy multimedia pc os irrit tilt screen see black white colour everyon told hp brand provid better servic build qualiti coustom satisfact display also batteri never think hp laptop come wrost screen experi costom read review one thing notic hp,Positive
34,"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)","It is a very good laptop, Starting speed is very fast, it starts in 2 to 3 seconds only. Everything is nice with this laptop must buy. Intel UHD graphics support is very good in this.",5,0.4466666666666666,Positive,good laptop start speed fast start second everyth nice laptop must buy intel uhd graphic support good,Positive
35,"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)",Nice product light weight. everything is okay.,4,0.5,Positive,nice product light weight everyth okay,Positive
36,"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)",Everything is Good Must Buy,5,0.7,Positive,everyth good must buy,Positive
37,"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)",Nice Product,4,0.6,Positive,nice product,Positive
38,"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)",nice product everything is okay but battery power worst.otherwise no backlight.am not satisfied .i disappointed 😞 for Flipkart.,3,0.025000000000000022,Positive,nice product everyth okay batteri power worst otherwis backlight satisfi disappoint flipkart,Neutral
39,"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)","Display so bad quality and wifi connectivity ia also poor, camera vry poor. Not UP to the mark.",1,-0.5,Negative,display bad qualiti wifi connect ia also poor camera vri poor mark,Negative
40,"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)",Very Good pc in this price with HP Brand,5,0.9099999999999999,Positive,good pc price hp brand,Positive
41,"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)",Excellent 🤩🤩🤩,5,1.0,Positive,excel,Positive
42,"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)",Awesome Laptop 🤩,5,1.0,Positive,awesom laptop,Positive
43,"ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",It's awesome for multipurpose computer very smoothly to use & worked performance is superb i like it 😋😍😇,5,0.84,Positive,awesom multipurpos comput smoothli use work perform superb like,Positive
44,"ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","First impressions are awesome ! Will update the review after some usage !Edit : Review update after a week.Well laptop is blazingly fast ! i3 11th processor rocks. SSD also makes it quick. Webcam is not that bad. I have seen worse. And I don't know why people are complaining about its display. I didn't find any problems with it so far. On the contrast, I actually liked the display. It is HD and is quite clear. Now about battery backup -So if you are using it without wifi. Then it will ...",5,0.17037037037037037,Positive,first impress awesom updat review usag edit review updat week well laptop blazingli fast th processor rock ssd also make quick webcam bad seen wors know peopl complain display find problem far contrast actual like display hd quit clear batteri backup use without wifi,Positive
45,"ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Best laptop in this segment...I like this product....but just camera is avarage quality...not so impressive.. overall I think it is a very good product in this price.,5,0.7275,Positive,best laptop segment like product camera avarag qualiti impress overal think good product price,Positive
46,"ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Value for money at this price range.1) fast fingerprint.2) camera very low quality.3) prosesor super fast.,5,0.18333333333333335,Positive,valu money price rang fast fingerprint camera low qualiti prosesor super fast,Positive
47,"ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Nice looking,3,0.6,Positive,nice look,Neutral
48,"ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","Best Laptop in this price from AsusVery fast processor Performance is goodBest for students, official work and Entertainment purposes.But camera quality is not good.Overall Nice Laptop.Thankyou Asus and Flipkart.",4,0.6,Positive,best laptop price asusveri fast processor perform goodbest student offici work entertain purpos camera qualiti good overal nice laptop thankyou asu flipkart,Positive
49,"ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Firstly the price of this laptop is quite impressive and the functions.SSDIn this range with this generation the processor is quite fast and in comparison with hdd SSD always gets an upper thumb as it makes your pc/notebook fast.BatteryIt is not as par with HP as they have 3 cell and in Asus they are 2 cell so here in the case of battery it lacks behindCamera: Really not good at all it seems like VGA camera,5,0.22000000000000003,Positive,firstli price laptop quit impress function ssdin rang gener processor quit fast comparison hdd ssd alway get upper thumb make pc notebook fast batteryit par hp cell asu cell case batteri lack behindcamera realli good seem like vga camera,Positive
50,"ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","Read this if you're going to buy any laptopMy advice is please not to look brand in buying laptops .The laptops with same specs of brands hp,full,aver,lenovo,asus etc are same To get to for minimum cost try asusDont feel asus is not as good as hp or dellFor this laptopPros- ●high speed boot up(faster than mac pro)● intel i3 good performance if your use is home,student,and coding●extra slot for ram.if you add 8 gb ram(you can get for just 2500 in flipkart and can add it yourself)You ...",4,0.35,Positive,read go buy laptopmi advic pleas look brand buy laptop laptop spec brand hp full aver lenovo asu etc get minimum cost tri asusdont feel asu good hp dellfor laptoppro high speed boot faster mac pro intel good perform use home student code extra slot ram add gb ram get flipkart add,Positive
51,"ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Best laptop under 35k just go for it I have got in 33k on sale Pro : i3 11th gen under 35 k  * Display quality is good but view angle is not so good but it's okay for me * Speaker sound is better* It's booting Time is fastKeyboard quality is goodDesign is awesomeAnd the best part is that it comes with extra slot fully confirmed by me and  asus care  you can expand upto 12gb ram there is  4gb onboard ram and extra slot you can put 8 gb there and you can upgrade hdd upto 1tb Built quali...,4,0.52,Positive,best laptop k go got k sale pro th gen k display qualiti good view angl good okay speaker sound better boot time fastkeyboard qualiti gooddesign awesomeand best part come extra slot fulli confirm asu care expand upto gb ram gb onboard ram extra slot put gb upgrad hdd upto tb built quali,Positive
52,"ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Im statisfied .. valueble money,5,0.0,Neutral,im statisfi valuebl money,Positive
53,"RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)",Satisfied with laptop. Performance is good. Problems came like Flickering screen and search options not worked when upgraded to windows 11 so I reverted back to 10. So better don't upgrade to windows 11 now wait for some more days.,4,0.44000000000000006,Positive,satisfi laptop perform good problem came like flicker screen search option work upgrad window revert back better upgrad window wait day,Positive
54,"RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)",Thanks flipkart for the wonderful deal. Fully satisfied as of now right from timely delivery and performance.,5,0.49642857142857144,Positive,thank flipkart wonder deal fulli satisfi right time deliveri perform,Positive
55,"RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)","Performance: Today is first day so as per performance level no issue. I am using 10-15 tab in google chrome daily basis. Battery: As per company claim 10 hours. This is only for light users. If you use movie & music then may be. Design: decent design. Display: As per price range best display. Value for money: Yes this is value for money. Today this price 39,990 but it was 37,990 while ordered this one. But i got offer in Rs. 32,490 in sale time. I will submit after some days with proper ...",5,0.25952380952380955,Positive,perform today first day per perform level issu use tab googl chrome daili basi batteri per compani claim hour light user use movi music may design decent design display per price rang best display valu money ye valu money today price order one got offer rs sale time submit day proper,Positive
56,"RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)",Everything is better than other laptops of this range of price but there is only one thing is missing which the Numericals Pad. Overall performance is good. Good for using software like AutoCAD.,4,0.225,Positive,everyth better laptop rang price one thing miss numer pad overal perform good good use softwar like autocad,Positive
57,"RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)",Best part is design and build quality. Battery backup is superb only one problem is display is not good very bad viewing angles.,5,0.14800000000000002,Positive,best part design build qualiti batteri backup superb one problem display good bad view angl,Positive
58,"RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)",Awesome.,4,1.0,Positive,awesom,Positive
59,"RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)",I wrote this review after the use of  45 days. I never saw a lack in this laptop and the sound quality is also good. Not heating I thought this price range recommend. Thanks for reading my review.,5,0.43333333333333335,Positive,wrote review use day never saw lack laptop sound qualiti also good heat thought price rang recommend thank read review,Positive
60,"RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)",nyc laptop,4,0.0,Neutral,nyc laptop,Positive
61,"RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)","Bought it for Trading Purpose.Except for the screen and sound quality, everything working fine, Updated to Window 11, no issues yet. Handles all the task easily. 11th gen processor 🔥",3,0.4166666666666667,Positive,bought trade purpos except screen sound qualiti everyth work fine updat window issu yet handl task easili th gen processor,Neutral
62,"RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)",Overall good 👍,4,0.35,Positive,overal good,Positive
63,"ASUS Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) X515EA-EJ312WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Good product,5,0.7,Positive,good product,Positive
64,"ASUS Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) X515EA-EJ312WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",This price range it’s super…..,5,0.0,Neutral,price rang super,Positive
65,"ASUS Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) X515EA-EJ312WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Very bad experience,1,-0.9099999999999998,Negative,bad experi,Negative
66,"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Laptop is amazing and sleek. Good for day-to-day use.SSD really helps in boosting the performance however do buy a laptop stand as it may heat up otherwise.Boots-up in around 30 secs. Windows 11 licensed is pre-installed. Works smoothly for not so heavy users.,5,0.33999999999999997,Positive,laptop amaz sleek good day day use ssd realli help boost perform howev buy laptop stand may heat otherwis boot around sec window licens pre instal work smoothli heavi user,Positive
67,"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Nyce product,4,0.0,Neutral,nyce product,Positive
68,"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Excellent,5,1.0,Positive,excel,Positive
69,"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Nice one,4,0.6,Positive,nice one,Positive
70,"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Good  performing laptopBut less port option Doesn't have rj45 and type c portAnd display isn't bright enough,3,0.30833333333333335,Positive,good perform laptopbut less port option rj type c portand display bright enough,Neutral
71,"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Awesome.I edited my review after 10 days of using.Performance DisplayBatterySsdHdd....... everything is mind blowing...,5,0.0,Neutral,awesom edit review day use perform displaybatteryssdhdd everyth mind blow,Positive
72,"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Nice product,5,0.6,Positive,nice product,Positive
